# d267b7acbd7ca1021691f4feea94f726d4a4097ff244dad4bdc4108a8a9ef8ab#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6822,"mnu":0.06,"ns":0.974,"ombh2":0.0226,"omch2":0.118,"omnuh2":0.000644883920894239,"sigma_8":0.813},"data_sha256":"242eee73b146c45f665533bf889c570793cb6a224cb2303465a9fdb5cb823b41","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
1.037029781956317861e-04 2.026782986482964816e+03
1.046117302810652258e-04 2.044059764539453909e+03
1.055284457863265912e-04 2.061483492863480024e+03
1.064531944950855834e-04 2.079055407442688193e+03
1.073860468025281123e-04 2.096776754429664834e+03
1.083270737207151147e-04 2.114648790237826233e+03
1.092763468839881292e-04 2.132672781622427010e+03
1.102339385544224670e-04 2.150850005342093937e+03
1.111999216273279928e-04 2.169181747499111680e+03
1.121743696367982074e-04 2.187669304539226687e+03
1.131573567613079561e-04 2.206313983522346462e+03
1.141489578293600486e-04 2.225117102205988886e+03
1.151492483251816303e-04 2.244079989303943421e+03
1.161583043944701686e-04 2.263203990413963766e+03
1.171762028501900459e-04 2.282490469721639329e+03
1.182030211784197422e-04 2.301940803376503936e+03
1.192388375442504514e-04 2.321556379147053121e+03
1.202837307977362095e-04 2.341338596518545728e+03
1.213377804798962682e-04 2.361288866115278324e+03
1.224010668287700120e-04 2.381408603710834541e+03
1.234736707855250818e-04 2.401699232962279893e+03
1.245556740006187877e-04 2.422162189206452240e+03
1.256471588400136501e-04 2.442798919597591066e+03
1.267482083914474224e-04 2.463610883201706656e+03
1.278589064707580283e-04 2.484599549572756587e+03
1.289793376282639286e-04 2.505766394234982727e+03
1.301095871552002982e-04 2.527112903130500854e+03
1.312497410902118788e-04 2.548640574180506519e+03
1.323998862259024006e-04 2.570350917376608777e+03
1.335601101154416286e-04 2.592245454992732903e+03
1.347305010792301436e-04 2.614325731500828624e+03
1.359111482116226964e-04 2.636593321395999737e+03
1.371021413877103533e-04 2.659049814293144664e+03
1.383035712701620825e-04 2.681696813363358160e+03
1.395155293161262980e-04 2.704535935450638135e+03
1.407381077841930630e-04 2.727568809750004675e+03
1.419713997414169830e-04 2.750797056031778538e+03
1.432154990704018161e-04 2.774222288334020959e+03
1.444705004764472629e-04 2.797846132796808888e+03
1.457364994947581247e-04 2.821670228276128910e+03
1.470135924977168879e-04 2.845696226434044547e+03
1.483018767022199779e-04 2.869925796451110728e+03
1.496014501770781167e-04 2.894360648060525364e+03
1.509124118504816779e-04 2.919002515238943488e+03
1.522348615175317453e-04 2.943853146609892974e+03
1.535688998478364664e-04 2.968914305553147642e+03
1.549146283931745734e-04 2.994187770303597063e+03
1.562721495952259338e-04 3.019675324724550137e+03
1.576415667933697023e-04 3.045378744055385596e+03
1.590229842325508846e-04 3.071299814073300695e+03
1.604165070712157220e-04 3.097440334674471160e+03
1.618222413893170603e-04 3.123802119977372058e+03
1.632402941963891356e-04 3.150386998715380287e+03
1.646707734396939170e-04 3.177196822508964942e+03
1.661137880124379494e-04 3.204233467445357746e+03
1.675694477620622447e-04 3.231498825407415552e+03
1.690378634986038661e-04 3.258994803689241508e+03
1.705191470031314270e-04 3.286723325117451168e+03
1.720134110362539644e-04 3.314686327385096320e+03
1.735207693467050822e-04 3.342885756853446310e+03
1.750413366800014983e-04 3.371323571767329668e+03
1.765752287871782717e-04 3.400001745962691075e+03
1.781225624335999237e-04 3.428922269016284645e+03
1.796834554078491071e-04 3.458087146363667671e+03
1.812580265306931477e-04 3.487498400986080924e+03
1.828463956641290008e-04 3.517158077744742968e+03
1.844486837205077344e-04 3.547068239276201439e+03
1.860650126717385922e-04 3.577230964855301409e+03
1.876955055585741551e-04 3.607648350523482804e+03
1.893402864999764392e-04 3.638322509031901973e+03
1.909994807025654998e-04 3.669255558004246268e+03
1.926732144701504641e-04 3.700449612285916373e+03
1.943616152133442352e-04 3.731906801162760530e+03
1.960648114592624400e-04 3.763629270168619769e+03
1.977829328613073777e-04 3.795619181194598241e+03
1.995161102090378647e-04 3.827878714761117408e+03
2.012644754381249753e-04 3.860410099026865282e+03
2.030281616403961447e-04 3.893215603205295793e+03
2.048073030739658187e-04 3.926297515809339075e+03
2.066020351734563631e-04 3.959658144266281397e+03
2.084124945603071455e-04 3.993299815072400179e+03
2.102388190531753417e-04 4.027224864260264440e+03
2.120811476784267564e-04 4.061435594581570058e+03
2.139396206807189923e-04 4.095934308618135219e+03
2.158143795336776426e-04 4.130723325883071993e+03
2.177055669506655362e-04 4.165804982935705084e+03
2.196133268956467410e-04 4.201181633570840859e+03
2.215378045941454631e-04 4.236855668780618544e+03
2.234791465443012768e-04 4.272829543318604010e+03
2.254375005280209840e-04 4.309105738023082267e+03
2.274130156222284587e-04 4.345686753810591654e+03
2.294058422102126659e-04 4.382575111833823030e+03
2.314161319930756438e-04 4.419773352145327408e+03
2.334440380012803686e-04 4.457283997754133452e+03
2.354897146062999642e-04 4.495109551510765414e+03
2.375533175323691802e-04 4.533252532575294026e+03
2.396350038683384349e-04 4.571715478333840110e+03
2.417349320796323756e-04 4.610500944504834479e+03
2.438532620203121427e-04 4.649611511136028639e+03
2.459901549452449157e-04 4.689049824875049126e+03
2.481457735223784912e-04 4.728818576144305553e+03
2.503202818451245523e-04 4.768920476934314138e+03
2.525138454448498161e-04 4.809358260820151372e+03
2.547266313034769834e-04 4.850134683122538263e+03
2.569588078661961964e-04 4.891252506431529582e+03
2.592105450542870845e-04 4.932714466050049850e+03
2.614820142780547056e-04 4.974523307185811973e+03
2.637733884498769435e-04 5.016681794910293320e+03
2.660848419973678609e-04 5.059192714275981416e+03
2.684165508766554894e-04 5.102058870609318546e+03
2.707686925857765510e-04 5.145283098678712122e+03
2.731414461781875693e-04 5.188868267562322217e+03
2.755349922763957295e-04 5.232817268679194058e+03
2.779495130857084599e-04 5.277133014861916308e+03
2.803851924081030879e-04 5.321818440493165326e+03
