# 17d18ac21b0778456cc7e84f03bb8c5e9be547793a08b3a0c15e2fa3bd5adb0e#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6732,"mnu":0.06,"ns":0.96605,"ombh2":0.022383,"omch2":0.12009212027110579,"omnuh2":0.000644883920894239,"sigma_8":0.812},"data_sha256":"a1adf78a402c5980b250a8906c0f293637de20f272fa9463492015cc9b55df24","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
5.231134585023060725e-04 9.802851729856203747e+03
5.276975163047296956e-04 9.883910119696896800e+03
5.323217443333146982e-04 9.965611235615398982e+03
5.369864946008709320e-04 1.004795959851411862e+04
5.416921222049070860e-04 1.013095975290500792e+04
5.464389853546608227e-04 1.021461626742957378e+04
5.512274453983677640e-04 1.029893373487006284e+04
5.560578668507672661e-04 1.038391677167990929e+04
5.609306174208523576e-04 1.046957001797051998e+04
5.658460680398599363e-04 1.055589813751625297e+04
5.708045928895080562e-04 1.064290581287824352e+04
5.758065694304783516e-04 1.073059771429322063e+04
5.808523784311522744e-04 1.081897851833441018e+04
5.859424039965945279e-04 1.090805292327039388e+04
5.910770335977933495e-04 1.099782564909292159e+04
5.962566581011564471e-04 1.108830143746746398e+04
6.014816717982636755e-04 1.117948504311520264e+04
6.067524724358839324e-04 1.127138121589781076e+04
6.120694612462517208e-04 1.136399472109131057e+04
6.174330429776110759e-04 1.145733034411492372e+04
6.228436259250258802e-04 1.155139289044845464e+04
6.283016219614610126e-04 1.164618718618807543e+04
6.338074465691357403e-04 1.174171810523704517e+04
6.393615188711517395e-04 1.183799058043213699e+04
6.449642616633981295e-04 1.193500956926428989e+04
6.506161014467355804e-04 1.203278005116204622e+04
6.563174684594640486e-04 1.213130702743502115e+04
6.620687967100739217e-04 1.223059551062769606e+04
6.678705240102841530e-04 1.233065041316800489e+04
6.737230920083690094e-04 1.243147658700115062e+04
6.796269462227799403e-04 1.253307889748647358e+04
6.855825360760588790e-04 1.263546222440636666e+04
6.915903149290492666e-04 1.273863146175768270e+04
6.976507401154093515e-04 1.284259154485623912e+04
7.037642729764235355e-04 1.294734754730083841e+04
7.099313788961240197e-04 1.305290459613350504e+04
7.161525273367157001e-04 1.315926783789951696e+04
7.224281918743143995e-04 1.326644243853054650e+04
7.287588502349951793e-04 1.337443358247731157e+04
7.351449843311614685e-04 1.348324638302241874e+04
7.415870802982277429e-04 1.359288579318071243e+04
7.480856285316276819e-04 1.370335675574523339e+04
7.546411237241420567e-04 1.381466422268724273e+04
7.612540649035593604e-04 1.392681315483883918e+04
7.679249554706629993e-04 1.403980852531524397e+04
7.746543032375500333e-04 1.415365538795911561e+04
7.814426204662907900e-04 1.426835887266910322e+04
7.882904239079204607e-04 1.438392412389117635e+04
7.951982348417792681e-04 1.450035629806939687e+04
8.021665791151926395e-04 1.461766056338398448e+04
8.091959871835008181e-04 1.473584208919304365e+04
8.162869941504378047e-04 1.485490598591950766e+04
8.234401398088683028e-04 1.497485734329126717e+04
8.306559686818756200e-04 1.509570125800031565e+04
8.379350300642146197e-04 1.521744283343654934e+04
8.452778780641256049e-04 1.534008717929154955e+04
8.526850716455135768e-04 1.546363938111970310e+04
8.601571746705010020e-04 1.558810444372550410e+04
8.676947559423499670e-04 1.571348735837396634e+04
8.752983892487605508e-04 1.583979311687777408e+04
8.829686534055504032e-04 1.596702671112787539e+04
8.907061323007169377e-04 1.609519313428292662e+04
8.985114149388843084e-04 1.622429744098212177e+04
9.063850954861405905e-04 1.635434476642741538e+04
9.143277733152667917e-04 1.648534025381109677e+04
9.223400530513652844e-04 1.661728904884953954e+04
9.304225446178852714e-04 1.675019629935887860e+04
9.385758632830514675e-04 1.688406713799593854e+04
9.468006297067017418e-04 1.701890652133482581e+04
9.550974699875325281e-04 1.715471929466349684e+04
9.634670157107614371e-04 1.729151029252033550e+04
9.719099039962044665e-04 1.742928433942831180e+04
9.804267775467771350e-04 1.756804624925639291e+04
9.890182846974168284e-04 1.770780083946637751e+04
9.976850794644392603e-04 1.784855297855214667e+04
1.006427821595323518e-03 1.799030754125296517e+04
