# ff065fa778254cca54b85bb3a68aab7b5381e1714f11192a638a154f53590803#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.67,"mnu":0.0,"ns":0.962,"ombh2":0.021996100000000005,"omch2":0.11985630000000001,"omnuh2":0.0,"sigma_8":0.834},"data_sha256":"89d27adde730cb67050cb1a692ee37c19091b68532d0d0770a87800023f45b4a","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
1.719110166748768803e-04 3.617378263276115831e+03
1.734174777006881256e-04 3.647767088356035401e+03
1.749371398864144728e-04 3.678409475601662962e+03
1.764701189141877917e-04 3.709307477092833324e+03
1.780165314798657576e-04 3.740463160550078555e+03
1.795764953019150182e-04 3.771878609441757362e+03
1.811501291303725854e-04 3.803555929914346052e+03
1.827375527558851537e-04 3.835497282156240544e+03
1.843388870188283251e-04 3.867704856987844323e+03
1.859542538185051698e-04 3.900180863397231406e+03
1.875837761224258043e-04 3.932927528679762872e+03
1.892275779756681761e-04 3.965947098509596799e+03
1.908857845103205159e-04 3.999241814856275141e+03
1.925585219550071106e-04 4.032813884725023399e+03
1.942459176444971268e-04 4.066665523814345761e+03
1.959481000293980828e-04 4.100798964045750836e+03
1.976651986859333731e-04 4.135216453662934327e+03
1.993973443258068284e-04 4.169920258071630997e+03
2.011446688061523027e-04 4.204912679338853195e+03
2.029073051395716241e-04 4.240196058943634853e+03
2.046853875042594435e-04 4.275772757668371014e+03
2.064790512542179375e-04 4.311645154644001195e+03
2.082884329295601436e-04 4.347815647483023895e+03
2.101136702669037461e-04 4.384286653424409451e+03
2.119549022098563950e-04 4.421060617255797297e+03
2.138122689195923697e-04 4.458140007483188128e+03
2.156859117855223205e-04 4.495527312157077176e+03
2.175759734360560897e-04 4.533225038984941420e+03
2.194825977494603455e-04 4.571235715478892416e+03
2.214059298648110032e-04 4.609561878178804363e+03
2.233461161930417325e-04 4.648206044283854681e+03
2.253033044280892581e-04 4.687170740833367745e+03
2.272776435581364549e-04 4.726458513263895838e+03
2.292692838769537533e-04 4.766071925521418962e+03
2.312783769953400466e-04 4.806013560432407758e+03
2.333050758526639698e-04 4.846286035991836798e+03
2.353495347285059533e-04 4.886892015740417264e+03
2.374119092544029516e-04 4.927834185951156542e+03
2.394923564256950057e-04 4.969115253527849745e+03
2.415910346134771624e-04 5.010737946151903998e+03
2.437081035766543657e-04 5.052705011343714432e+03
2.458437244741035763e-04 5.095019202091531952e+03
2.479980598769413293e-04 5.137683280369787099e+03
2.501712737808994141e-04 5.180700028284532891e+03
2.523635316188088933e-04 5.224072248475495144e+03
2.545750002731931379e-04 5.267802764247740924e+03
2.568058480889719663e-04 5.311894417590229750e+03
2.590562448862761009e-04 5.356350059802770375e+03
2.613263619733750863e-04 5.401172558865257088e+03
2.636163721597173685e-04 5.446364803353560092e+03
2.659264497690857327e-04 5.491929702565024854e+03
2.682567706528666911e-04 5.537870186686495799e+03
2.706075122034376154e-04 5.584189218527561934e+03
2.729788533676703118e-04 5.630889809660143328e+03
2.753709746605527745e-04 5.677974998077498640e+03
2.777840581789309607e-04 5.725447844581983190e+03
2.802182876153705318e-04 5.773311432940360646e+03
2.826738482721404054e-04 5.821568868618816850e+03
2.851509270753180628e-04 5.870223242647021834e+03
2.876497125890198109e-04 5.919277627354971628e+03
2.901703950297542097e-04 5.968735113935524168e+03
2.927131662809027849e-04 6.018598814512130957e+03
2.952782199073259654e-04 6.068871862241622694e+03
2.978657511700988011e-04 6.119557416955021836e+03
3.004759570413745610e-04 6.170658707118820530e+03
3.031090362193788698e-04 6.222179008236285881e+03
3.057651891435354667e-04 6.274121620038176843e+03
3.084446180097243453e-04 6.326489866461933161e+03
3.111475267856736839e-04 6.379287095807290825e+03
3.138741212264863794e-04 6.432516666479103151e+03
3.166246088903032995e-04 6.486181910289184088e+03
3.193991991541026559e-04 6.540286170521988424e+03
3.221981032296395114e-04 6.594832812856316195e+03
3.250215341795228171e-04 6.649825225472950478e+03
3.278697069334356195e-04 6.705266819344129544e+03
3.307428383044955624e-04 6.761161039325060301e+03
3.336411470057594258e-04 6.817511370996656296e+03
3.365648536668729477e-04 6.874321325371076455e+03
3.395141808508654949e-04 6.931594437540125000e+03
3.424893530710925653e-04 6.989334266803519313e+03
3.454905968083259583e-04 7.047544396482472621e+03
3.485181405279954084e-04 7.106228429924620286e+03
3.515722146975792418e-04 7.165389991635704064e+03
3.546530518041488282e-04 7.225032730497977354e+03
3.577608863720660123e-04 7.285160319967631949e+03
3.608959549808362917e-04 7.345776458198810360e+03
3.640584962831183366e-04 7.406884862817539215e+03
3.672487510228897973e-04 7.468489247432463344e+03
3.704669620537754705e-04 7.530593339941836348e+03
3.737133743575324590e-04 7.593200891949471043e+03
3.769882350627005627e-04 7.656315678865055816e+03
3.802917934634131325e-04 7.719941500041491963e+03
3.836243010383754868e-04 7.784082189141888193e+03
3.869860114700074774e-04 7.848741628068542923e+03
3.903771806637553517e-04 7.913923727390383647e+03
3.937980667675717228e-04 7.979632423224660670e+03
3.972489301915667868e-04 8.045871677354904932e+03
4.007300336278324729e-04 8.112645476513740505e+03
4.042416420704377325e-04 8.179957811731431320e+03
4.077840228356028858e-04 8.247812676230225406e+03
4.113574455820471153e-04 8.316214086719768602e+03
4.149621823315169118e-04 8.385166084569411396e+03
4.185985074894924387e-04 8.454672735893509525e+03
4.222666978660772892e-04 8.524738132073471206e+03
4.259670326970690338e-04 8.595366393090323982e+03
4.296997936652170095e-04 8.666561665893710597e+03
4.334652649216637734e-04 8.738328122725126377e+03
4.372637331075764533e-04 8.810669961191544644e+03
4.410954873759670219e-04 8.883591404349645018e+03
4.449608194137026846e-04 8.957096699382116640e+03
4.488600234637113158e-04 9.031190114151237140e+03
4.527933963473796124e-04 9.105875940951324083e+03
4.567612374871483547e-04 9.181158497612526844e+03
4.607638489293053720e-04 9.257042127577415158e+03
4.648015353669787599e-04 9.333531199918574202e+03
4.688746041633307300e-04 9.410630106005339258e+03
4.729833653749557221e-04 9.488343257560753045e+03
4.771281317754824019e-04 9.566675091463130229e+03
4.813092188793837161e-04 9.645630070257833722e+03
4.855269449659948438e-04 9.725212682222587318e+03
4.897816311037411037e-04 9.805427438436800003e+03
4.940736011745799905e-04 9.886278834431454015e+03
4.984031818986552282e-04 9.967771360022334193e+03
5.027707028591683674e-04 1.004990952784227375e+04
5.071764965274678204e-04 1.013269787401027679e+04
5.116208982883572835e-04 1.021614095813995664e+04
5.161042464656272893e-04 1.030024337018926053e+04
5.206268823478091279e-04 1.038500976010371596e+04
5.251891502141547161e-04 1.047044481472807274e+04
5.297913973608450169e-04 1.055655324626987021e+04
5.344339741274265745e-04 1.064333979232799720e+04
5.391172339234814783e-04 1.073080921590905746e+04
5.438415332555298883e-04 1.081896630146106872e+04
5.486072317541688080e-04 1.090781584964870490e+04
5.534146922014469968e-04 1.099736268495671902e+04
5.582642805584835024e-04 1.108761165693070507e+04
5.631563659933247175e-04 1.117856764019425827e+04
5.680913209090470090e-04 1.127023553291670578e+04
5.730695209721041591e-04 1.136262021928215108e+04
5.780913451409268843e-04 1.145572656604037002e+04
5.831571756947687927e-04 1.154955946039947776e+04
5.882673982628069129e-04 1.164412381187816391e+04
5.934224018534979854e-04 1.173942455225625781e+04
5.986225788841899754e-04 1.183546663650602750e+04
6.038683252109955293e-04 1.193225504988797366e+04
6.091600401589255306e-04 1.202979480405269533e+04
6.144981265522867679e-04 1.212809093315163045e+04
6.198829907453466421e-04 1.222714849375652193e+04
6.253150426532663210e-04 1.232697256480215401e+04
6.307946957833050544e-04 1.242756824292827332e+04
6.363223672662978152e-04 1.252894063114045093e+04
6.418984778884087626e-04 1.263109485059681538e+04
6.475234521231622601e-04 1.273403604377642296e+04
6.531977181637565457e-04 1.283776937439324320e+04
6.589217079556587524e-04 1.294230002691256414e+04
6.646958572294865914e-04 1.304763318432994129e+04
6.705206055341759400e-04 1.315377401544426903e+04
6.763963962704435491e-04 1.326072770513918113e+04
6.823236767245386900e-04 1.336849945704780839e+04
6.883028981022919820e-04 1.347709449340867468e+04
6.943345155634644350e-04 1.358651805379568759e+04
7.004189882563930216e-04 1.369677538085115884e+04
7.065567793529457883e-04 1.380787172388191721e+04
7.127483560837782678e-04 1.391981234905416386e+04
7.189941897739017063e-04 1.403260253944483338e+04
7.252947558785602898e-04 1.414624759485793038e+04
7.316505340194269080e-04 1.426075282829627577e+04
7.380620080211120360e-04 1.437612355157554339e+04
7.445296659479954922e-04 1.449236508631958532e+04
7.510540001413772756e-04 1.460948276922763944e+04
7.576355072569589772e-04 1.472748195185441364e+04
7.642746883026503438e-04 1.484636800038391630e+04
7.709720486767060888e-04 1.496614629552060796e+04
7.777280982062014089e-04 1.508682223241015708e+04
7.845433511858388321e-04 1.520840122016830901e+04
7.914183264171006016e-04 1.533088868159924277e+04
7.983535472477407396e-04 1.545429005294474700e+04
