metric,zbin,scenario,planck_hours,pact_hours,planck_penalty,pact_penalty,relative_penalty_shift_pct
da_2pct,6,uniform75_dtv,11021.438489513479,9881.835019245249,3.9997451520131486,3.9997305684055786,-0.00036461341950122517
da_2pct,6,uniform97_dtv,91850.49934100115,82350.83045883957,33.33308894285482,33.33198067750813,-0.0033248204167168893
da_2pct,6,measured_fourier,3711.4111227962912,3325.6333839921317,1.3468930266821673,1.3460695791174384,-0.06113681995646436
da_2pct,6,uniform25_dtv,3673.9958830644164,3294.03089895688,1.333314815101949,1.3332782883109329,-0.002739547374885909
da_2pct,6,uniform90_dtv,27555.221447060594,24705.633947083985,9.99995268316328,9.99974995712261,-0.0020272699990941945
da_2pct,6,uniform50_chime,5511.01552531593,4941.134593390661,1.9999800979721858,1.999953150128625,-0.0013474055860940304
da_2pct,6,ch30_excised,3149.1209284214156,2821.636699259105,1.142834592647871,1.1420739707738656,-0.06655572721534497
da_2pct,6,ch30_kept,3269.632825256225,2931.466848138297,1.1865690720974962,1.186528366435107,-0.0034305345846585844
da_2pct,6,ch30_kept_fourier,17198.282812564772,15419.57867977065,6.241358454974561,6.241164730771241,-0.0031038788224968528
bin_5sigma,8,clean,1832.8988680215487,1625.178779436323,1.0,1.0,0.0
bin_5sigma,8,measured,2502.3184298232136,2213.7425232407004,1.3652244940956528,1.3621532296948369,-0.22496405639501615
bin_5sigma,8,uniform50_dtv,3665.7910771839206,3250.340145142494,1.9999963670340504,1.9999892850372079,-0.0003541004853446772
bin_5sigma,8,uniform75_dtv,7331.595438358462,6500.716762748782,3.999999981598694,4.00000101219848,2.5764994759924775e-05
bin_5sigma,8,uniform97_dtv,61096.468642077496,54172.3875264496,33.33324588062281,33.33318660808428,-0.00017781808210326489
bin_5sigma,8,measured_fourier,2502.66744514589,2214.0512885268095,1.3654149112150944,1.362343218199496,-0.22496407431678023
bin_5sigma,8,uniform25_dtv,2443.7967154214107,2166.890288710703,1.3332959925166368,1.3333242570778994,0.002119901463837337
bin_5sigma,8,uniform90_dtv,18328.98010120503,16251.782829276623,9.999995319430544,9.999996944898204,1.6254684198635516e-05
bin_5sigma,8,uniform50_chime,3665.7910771839206,3250.340145142494,1.9999963670340504,1.9999892850372079,-0.0003541004853446772
bin_5sigma,8,ch30_excised,1832.8988680215487,1625.178779436323,1.0,1.0,0.0
bin_5sigma,8,ch30_kept,1832.8988680215487,1625.178779436323,1.0,1.0,0.0
bin_5sigma,8,ch30_kept_fourier,1832.8988680215487,1625.178779436323,1.0,1.0,0.0
da_2pct,8,clean,3597.0662164538494,3229.8789797588443,1.0,1.0,0.0
da_2pct,8,measured,4791.677785825833,4294.223205934188,1.332107194442944,1.3295306829901137,-0.19341622532920155
da_2pct,8,uniform50_dtv,7194.172065930589,6459.794565977101,2.000011018152157,2.000011333693814,1.5776995954119855e-05
da_2pct,8,uniform75_dtv,14388.329452270416,12919.978215019786,4.000017955314451,4.00014313105454,0.003129379454969161
da_2pct,8,uniform97_dtv,119903.0569619637,107669.04894916674,33.333569566636875,33.33531987542324,0.005250889146046767
da_2pct,8,measured_fourier,4792.346396031764,4294.822173907112,1.3322930709783474,1.3297161289392276,-0.19342155980945908
da_2pct,8,uniform25_dtv,4796.222476623434,4306.666579791743,1.333370638184072,1.3333832650637876,0.0009469894831859449
da_2pct,8,uniform90_dtv,35969.82667605673,32299.9670223508,9.999767730580565,10.00036447952686,0.00596762807270057
da_2pct,8,uniform50_chime,7194.172065930589,6459.794565977101,2.000011018152157,2.000011333693814,1.5776995954119855e-05
da_2pct,8,ch30_excised,3597.0662164538494,3229.8789797588443,1.0,1.0,0.0
da_2pct,8,ch30_kept,3597.0662164538494,3229.8789797588443,1.0,1.0,0.0
da_2pct,8,ch30_kept_fourier,3597.0662164538494,3229.8789797588443,1.0,1.0,0.0
